

Starting up round ID . 21:39:31
---------------------
[22:27:13]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:13]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:13]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:13]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:13]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:13]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:13]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:13]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:13]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:14]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:14]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:14]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:14]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:14]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:14]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:14]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:14]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:14]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:14]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:14]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:15]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:15]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:15]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:15]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:15]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:15]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:15]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:15]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:15]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:15]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:16]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:16]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:16]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:16]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:16]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:16]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:16]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:16]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:16]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:16]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:17]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:17]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:17]ATTACK: supper noob(noober84555) shot Pun Pun 22 with The death bolt (NEWHP: 15) (139,216,2)
[22:27:17]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:17]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
[22:27:17]ATTACK: supper noob(noober84555) fired at floor with The death bolt Bar   (144,237,2)
